"age_at_death","birth_date","died","eva_count","eva_duration","fai_flights_count","fai_flights_duration","flown","name","nationality","non_fai_flight_flight_count","non_fai_flight_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"83.5","1930-11-03","2014-05-06","0","","0","","False","William Harvey Dana","American","0","","Dyna-Soar Group 1","14","2h 58s","Deceased"
"","1953-11-01","","0","","0","","False","Nancy Jan Davis","American","0","","NASA Group 12","0","","Retired"
"","1954-11-27","","0","","0","","False","Frank Maxton DeArmond","American","0","","MSE Group 3","0","","Retired"
"","1942-05-12","","0","","0","","False","Dumitru Dediu","Romanian","0","","1978 Intercosmos Group","0","","Retired"
"72.1","1944-07-27","2016-09-17","0","","0","","False","Anatoli Ivanovich Dedkov","Russian","0","","Air Force Group 5","0","","Deceased"
"","1932-04-09","","0","","0","","False","Vladimir Aleksandrovich Degtyarov","Russian","0","","Air Force Group 3","0","","Retired"
"","1950-07-11","","0","","0","","False","Lawrence James DeLucas","American","0","","","0","","Retired"
"28.9","1942","1970-11-30","0","","0","","False","Anatoli Demyanenko","Russian","0","","","0","","Deceased"
"","1955-01-14","","0","","0","","False","Jeffrey Eliot Detroye","American","0","","MSE Group 1","0","","Retired"
"","1962-07-30","","9","13h 36m","0","","False","Vladimir N. Dezhurov","Russian","0","","Air Force Group 8","0","","Retired"
"","1947-10-08","","0","","0","","False","Yelena Ivanova Dobrokvashina","Russian","0","","Female Group 2","0","","Retired"
"43.1","1928-06-01","1971-06-30","0","","0","","False","Georgi Timofeyevich  Dobrovolsky","Russian","0","","Air Force Group 2","0","","Deceased"
"73.0","1935-11-14","2008-11-13","0","","0","","False","Gennadi Aleksandrovich Dogopolov","Russian","0","","Energia Engineer Group 1","0","","Deceased"
"","1954-09-18","","2","12h 44m","0","","False","Takao   Doi","Japanese","0","","NASDA Group 1","0","","Inactive"
"","1981","","0","","0","","False","Matthew Dominick","American","0","","NASA Group 22","0","",""
"","December  1978","","0","","0","","False","Chen Dong","Chinese","0","","Group 2","0","","Active"
"","1978-01-30","","0","","0","","False","Pyotr Valerevich Dubrov","Russian","0","","Air Force Group 16","0","","Active"
"","1953-06-20","","0","","0","","False","Brian J. Duffy","American","0","","NASA Group 11","0","","Retired"
"","1949-03-03","","0","","0","","False","Bonnie Jeanne Dunbar","American","0","","NASA Group 9","0","","Retired"
"","1963-03-14","","0","","0","","False","Pedro F. Duque","Spanish","0","","1992 ESA Group","0","","Active"
"","1943-09-17","","0","","0","","False","Samuel Thornton Durrance""Sam""","American","0","","","0","","Retired"
"","1968-11-20","","0","","0","","False","James P. Dutton","American","0","","NASA Group 19","0","","Inactive"
"72.9","1926-01-11","1998-12-18","0","","0","","False","Lev Stepanovich  Dyomin","Russian","0","","Air Force Group 2","0","","Deceased"
"","1951-07-14","","0","","0","","False","Esther Dyson","Swiss","0","","","0","","Inactive"
"","1942-05-13","","2","8h 34m","0","","False","Vladimir A. Dzhanibekov","Russian","0","","Air Force Group 5","0","","Retired"
"57.4","1930-06-30","1987-12-02","0","","0","","False","Donn Fulton Eisele","American","0","","NASA Group 3","0","","Deceased"
"","1942-05-15","","0","","0","","False","Anthony Wayne England""Tony""","American","0","","NASA Group 6","0","","Retired"
"","1932-08-26","","0","","0","","False","Joseph Henry Engle""Joe""","American","0","","NASA Group 5","13","1h 57m 9s","Retired"
"","1970-11-02","","0","","0","","False","Jeanette Jo Epps","American","0","","NASA Group 20","0","","Active"
"56.4","1933-11-10","1990-04-17","1","1h 6m","0","","False","Ronald Ellwin Evans""Ron""","American","0","","NASA Group 5","0","","Deceased"
"","1956-12-18","","0","","0","","False","Reinhold   Ewald","German","0","","1990 German Group","0","","Inactive"
"","1957-04-28","","0","","0","","False","Léopold   Eyharts","French","0","","CNES Group 3","0","","Active"
"","1939-01-28","","0","","0","","False","John McCreary Fabian","American","0","","NASA Group 8","0","","Retired"
"","1951-05-26","","0","","0","","False","Mohammed Ahmed Faris","Syrian","0","","International Group","0","","Retired"
"","1949-08-02","","0","","0","","False","Bertalan   Farkas","Hungarian","0","","1978 Intercosmos Group","0","","Retired"
"","1938-02-03","","0","","0","","False","Vladimir Grigoryevich Fartushny","Ukrainian","0","","Energia Engineer Group 2","0","","Retired"
"63.9","1939-05-14","2003-04-16","0","","0","","False","Mars Nurgaliyevich Fathulin","Russian","0","","Academy of Sciences Group","0","","Deceased"
"","1949-04-13","","0","","0","","False","Jean-Jacques   Favier","French","0","","CNES Group 2","0","","Retired"
"","1981-02-26","","0","","0","","False","Andrei Valerevich Fedyaev","Russian","0","","Air Force Group 16","0","","Active"
"","1945-05-20","","0","","0","","False","Nikolai Nikolayevich Fefelov","Russian","0","","Air Force Group 5","0","","Retired"
"83.8","1926-02-07","2009-11-21","0","","0","","False","Konstantin Petrovich  Feoktistov","Russian","0","","Voskhod Group","0","","Deceased"
"","1961-09-01","","0","","0","","False","Christopher John Ferguson","American","0","","NASA Group 17","0","","Retired"
"","1956-12-31","","0","","0","","False","Martin Joseph Fettman","American","0","","","0","","Retired"
"","1965-08-25","","6","18h 18m","0","","False","Andrew J. Feustel","American","0","","NASA Group 18","0","","Active"
"60.6","1930-01-21","1990-09-15","0","","0","","False","Valentin Ignatyevich Filatyev","Russian","0","","Air Force Group 1","0","","Deceased"
"","1928-02-26","","0","","0","","False","Anatoli Vassilyevich  Filipchenko","Russian","0","","Air Force Group 2","0","","Retired"
"","1967-03-14","","9","36m","0","","False","Edward Michael Fincke""Mike""","American","0","","NASA Group 16","0","","Active"
"70.7","1935-12-22","2006-09-19","0","","0","","False","John Lawrence Finley","American","0","","USAF MOL Group 1","0","","Deceased"
"","1974-01-23","","2","6h 59m","0","","False","Jack David Fischer""2fish""","American","0","","NASA Group 20","0","","Active"
"","1946-04-01","","2","11h 49m","0","","False","William Frederick Fisher","American","0","","NASA Group 9","0","","Retired"
"","1952-08-23","","0","","0","","False","Klaus-Dietrich   Flade","German","0","","1990 German Group","0","","Retired"
"","1957-01-06","","4","22h 44m","0","","False","Colin Michael Foale""Mike""","American","0","","NASA Group 12","0","","Inactive"
"","1960-07-07","","0","","0","","False","Kevin A. Ford","American","0","","NASA Group 18","0","","Inactive"
"","1957-03-29","","5","8h 19m","0","","False","Michael James Foreman","American","0","","NASA Group 17","0","","Inactive"
"","1957-03-31","","4","1h 29m","0","","False","Patrick Graham Forrester","American","0","","NASA Group 16","0","","Inactive"
"","1957-12-19","","7","32m","0","","False","Michael Edward Fossum","American","0","","NASA Group 17","0","","Inactive"
"34.7","1930-02-18","1964-10-31","0","","0","","False","Theodore Cordy Freeman""Ted""","American","0","","NASA Group 3","0","","Deceased"
"","1964-09-30","","0","","0","","False","Stephen Nathaniel  Frick","American","0","","NASA Group 16","0","","Inactive"
"","1941-03-21","","0","","0","","False","Dirk Dries David Damian  Frimout","Belgian","0","","ATLAS-1","0","","Retired"
"","1957-03-18","","5","7h 54m","0","","False","Arne  Christer Fuglesang","Swedish","0","","1992 ESA Group","0","","Active"
"","1955-02-20","","0","","0","","False","Michal Fulier""also as: Michael Fuller""","Slovak","0","","International Group","0","","Retired"
"76.9","1936-10-11","2013-08-21","0","","0","","False","Charles Gordon Fullerton","American","0","","USAF MOL Group 2","0","","Deceased"
"54.8","1940-11-25","1995-09-19","0","","0","","False","Reinhard Alfred Furrer","German","0","","Spacelab Payload Specialists Group","0","","Deceased"
